posting_id,skill,category,confidence_score,extraction_method,contract_type,city,cluster_id
LI-MUN-20240609-001,FastAPI,Programming,0.901,NER,Werkstudent,Munich,3
LI-MUN-20240609-001,Pandas,Programming,0.921,NER,Werkstudent,Munich,3
LI-MUN-20240609-001,NumPy,Programming,0.822,NER,Werkstudent,Munich,3
LI-MUN-20240609-001,SQL,Database,0.909,TF-IDF,Werkstudent,Munich,3
LI-MUN-20240609-001,Machine Learning,ML,0.797,TF-IDF,Werkstudent,Munich,3
LI-MUN-20240609-001,PyTorch,ML,0.786,NER,Werkstudent,Munich,3
LI-MUN-20240609-001,Scikit-learn,ML,0.822,TF-IDF,Werkstudent,Munich,3
IND-ESS-20250318-001,Python,Programming,0.894,TF-IDF,Full-time,Essen,3
IND-ESS-20250318-001,Kubeflow,ML,0.818,TF-IDF,Full-time,Essen,3
IND-ESS-20250318-001,Git,DevOps,0.86,TF-IDF,Full-time,Essen,3
IND-ESS-20250318-001,NumPy,Programming,0.892,NER,Full-time,Essen,3
IND-ESS-20250318-001,SQL,Database,0.924,NER,Full-time,Essen,3
IND-ESS-20250318-001,Jupyter,Programming,0.913,NER,Full-time,Essen,3
IND-ESS-20250318-001,Machine Learning,ML,0.833,NER,Full-time,Essen,3
IND-ESS-20250318-001,Streamlit,Programming,0.962,NER,Full-time,Essen,3
IND-ESS-20250318-001,Scikit-learn,ML,0.799,TF-IDF,Full-time,Essen,3
IND-ESS-20250318-001,Docker,DevOps,0.798,NER,Full-time,Essen,3
IND-MUN-20250323-002,FastAPI,Programming,0.895,NER,Full-time,Munich,3
IND-MUN-20250323-002,Python,Programming,0.919,TF-IDF,Full-time,Munich,3
IND-MUN-20250323-002,Pandas,Programming,0.804,TF-IDF,Full-time,Munich,3
IND-MUN-20250323-002,BigQuery,Database,0.795,NER,Full-time,Munich,3
IND-MUN-20250323-002,TensorFlow,ML,0.938,TF-IDF,Full-time,Munich,3
IND-MUN-20250323-002,NumPy,Programming,0.948,NER,Full-time,Munich,3
IND-MUN-20250323-002,SQL,Database,0.89,NER,Full-time,Munich,3
IND-MUN-20250323-002,Jupyter,Programming,0.789,NER,Full-time,Munich,3
IND-MUN-20250323-002,Machine Learning,ML,0.927,NER,Full-time,Munich,3
IND-MUN-20250323-002,PyTorch,ML,0.943,NER,Full-time,Munich,3
IND-MUN-20250323-002,MLflow,ML,0.852,TF-IDF,Full-time,Munich,3
LI-STU-20240110-001,Power BI,Visualization,0.901,NER,Werkstudent,Stuttgart,1
LI-STU-20240110-001,NumPy,Programming,0.811,NER,Werkstudent,Stuttgart,1
LI-STU-20240110-001,SQL,Database,0.82,NER,Werkstudent,Stuttgart,1
LI-STU-20240110-001,Jupyter,Programming,0.913,NER,Werkstudent,Stuttgart,1
LI-STU-20240110-001,Excel,Office,0.896,NER,Werkstudent,Stuttgart,1
SS-MUN-20240517-001,Python,Programming,0.881,NER,Full-time,Munich,1
SS-MUN-20240517-001,Excel,Office,0.811,TF-IDF,Full-time,Munich,1
SS-MUN-20240517-001,Power BI,Visualization,0.831,TF-IDF,Full-time,Munich,1
SS-MUN-20240517-001,SQL,Database,0.822,NER,Full-time,Munich,1
SS-MUN-20240517-001,Jupyter,Programming,0.94,NER,Full-time,Munich,1
SS-MUN-20240517-001,R,Programming,0.824,NER,Full-time,Munich,1
IND-COL-20240625-001,Python,Programming,0.933,TF-IDF,Werkstudent,Cologne,3
IND-COL-20240625-001,Matplotlib,Programming,0.831,NER,Werkstudent,Cologne,3
IND-COL-20240625-001,Power BI,Visualization,0.953,TF-IDF,Werkstudent,Cologne,3
IND-COL-20240625-001,TensorFlow,ML,0.947,NER,Werkstudent,Cologne,3
IND-COL-20240625-001,Git,DevOps,0.82,TF-IDF,Werkstudent,Cologne,3
IND-COL-20240625-001,NumPy,Programming,0.855,TF-IDF,Werkstudent,Cologne,3
IND-COL-20240625-001,SQL,Database,0.807,NER,Werkstudent,Cologne,3
IND-COL-20240625-001,Jupyter,Programming,0.827,TF-IDF,Werkstudent,Cologne,3
IND-COL-20240625-001,Machine Learning,ML,0.882,TF-IDF,Werkstudent,Cologne,3
IND-COL-20240625-001,PyTorch,ML,0.861,TF-IDF,Werkstudent,Cologne,3
IND-COL-20240625-001,MLflow,ML,0.856,NER,Werkstudent,Cologne,3
IND-COL-20240625-001,Scikit-learn,ML,0.969,NER,Werkstudent,Cologne,3
IND-COL-20240625-001,Seaborn,Programming,0.877,NER,Werkstudent,Cologne,3
IND-COL-20240625-001,GCP,Cloud,0.924,NER,Werkstudent,Cologne,3
SS-FRA-20240629-001,Python,Programming,0.809,NER,Full-time,Frankfurt,3
SS-FRA-20240629-001,Pandas,Programming,0.93,TF-IDF,Full-time,Frankfurt,3
SS-FRA-20240629-001,Matplotlib,Programming,0.893,TF-IDF,Full-time,Frankfurt,3
SS-FRA-20240629-001,TensorFlow,ML,0.853,TF-IDF,Full-time,Frankfurt,3
SS-FRA-20240629-001,Git,DevOps,0.881,TF-IDF,Full-time,Frankfurt,3
SS-FRA-20240629-001,NumPy,Programming,0.944,NER,Full-time,Frankfurt,3
SS-FRA-20240629-001,SQL,Database,0.909,NER,Full-time,Frankfurt,3
SS-FRA-20240629-001,Jupyter,Programming,0.91,TF-IDF,Full-time,Frankfurt,3
SS-FRA-20240629-001,Machine Learning,ML,0.923,NER,Full-time,Frankfurt,3
SS-FRA-20240629-001,PyTorch,ML,0.801,TF-IDF,Full-time,Frankfurt,3
SS-FRA-20240629-001,MLflow,ML,0.81,NER,Full-time,Frankfurt,3
SS-FRA-20240629-001,Azure,Cloud,0.961,NER,Full-time,Frankfurt,3
IND-FRA-20241117-001,FastAPI,Programming,0.965,NER,Full-time,Frankfurt,3
IND-FRA-20241117-001,Python,Programming,0.876,NER,Full-time,Frankfurt,3
IND-FRA-20241117-001,Pandas,Programming,0.945,NER,Full-time,Frankfurt,3
IND-FRA-20241117-001,Matplotlib,Programming,0.94,TF-IDF,Full-time,Frankfurt,3
IND-FRA-20241117-001,Git,DevOps,0.896,NER,Full-time,Frankfurt,3
IND-FRA-20241117-001,NumPy,Programming,0.851,NER,Full-time,Frankfurt,3
IND-FRA-20241117-001,SQL,Database,0.882,TF-IDF,Full-time,Frankfurt,3
IND-FRA-20241117-001,Machine Learning,ML,0.955,TF-IDF,Full-time,Frankfurt,3
IND-FRA-20241117-001,PyTorch,ML,0.842,NER,Full-time,Frankfurt,3
IND-FRA-20241117-001,MLflow,ML,0.801,NER,Full-time,Frankfurt,3
IND-FRA-20241117-001,R,Programming,0.947,NER,Full-time,Frankfurt,3
IND-FRA-20241117-001,Excel,Office,0.825,NER,Full-time,Frankfurt,3
LI-MUN-20241118-001,Python,Programming,0.947,NER,Praktikum,Munich,1
LI-MUN-20241118-001,GCP,Cloud,0.796,TF-IDF,Praktikum,Munich,1
LI-MUN-20241118-001,Pandas,Programming,0.935,TF-IDF,Praktikum,Munich,1
LI-MUN-20241118-001,Git,DevOps,0.926,NER,Praktikum,Munich,1
LI-MUN-20241118-001,SQL,Database,0.905,TF-IDF,Praktikum,Munich,1
