posting_id,title_clean,contract_type,city,cluster_id,cluster_name,num_skills,silhouette_score
LI-MUN-20240609-001,Werkstudent Data Analytics,Werkstudent,Munich,3,ML & Research,7,0.61
IND-ESS-20250318-001,Analytics Engineer,Full-time,Essen,3,ML & Research,10,0.61
IND-MUN-20250323-002,Analytics Engineer,Full-time,Munich,3,ML & Research,11,0.61
LI-STU-20240110-001,Praktikant Data Science,Werkstudent,Stuttgart,1,Core Analytics & Student Entry,5,0.61
SS-MUN-20240517-001,ML Engineer,Full-time,Munich,1,Core Analytics & Student Entry,6,0.61
IND-COL-20240625-001,Werkstudent Machine Learning,Werkstudent,Cologne,3,ML & Research,14,0.61
SS-FRA-20240629-001,Senior Data Analyst,Full-time,Frankfurt,3,ML & Research,12,0.61
IND-FRA-20241117-001,Analytics Engineer,Full-time,Frankfurt,3,ML & Research,12,0.61
LI-MUN-20241118-001,Praktikant Data Analyst,Praktikum,Munich,1,Core Analytics & Student Entry,11,0.61
IND-BER-20240409-001,Senior Data Engineer,Full-time,Berlin,1,Core Analytics & Student Entry,7,0.61
SS-FRA-20240430-001,Freelance BI Consultant,Freelance/Contract,Frankfurt,2,Cloud Data Engineering,10,0.61
LI-BER-20241215-001,Werkstudent BI,Werkstudent,Berlin,1,Core Analytics & Student Entry,6,0.61
SS-BER-20250326-001,Praktikant Data Science,Praktikum,Berlin,1,Core Analytics & Student Entry,8,0.61
IND-BER-20240226-001,Praktikant Data Science,Praktikum,Berlin,1,Core Analytics & Student Entry,9,0.61
SS-DOR-20240711-001,Data Scientist,Full-time,Dortmund,3,ML & Research,12,0.61
IND-DOR-20250107-001,Data Architect,Full-time,Dortmund,1,Core Analytics & Student Entry,10,0.61
LI-OTH-20240414-001,Werkstudent Data Science,Werkstudent,Other,1,Core Analytics & Student Entry,6,0.61
SS-FRA-20250215-001,Analytics Engineer,Full-time,Frankfurt,1,Core Analytics & Student Entry,7,0.61
IND-STU-20250110-001,ML Engineer,Full-time,Stuttgart,3,ML & Research,10,0.61
LI-HAM-20240828-001,Praktikant Data Analyst,Praktikum,Hamburg,1,Core Analytics & Student Entry,5,0.61
SS-DOR-20250124-001,Praktikant Business Intelligence,Praktikum,Dortmund,1,Core Analytics & Student Entry,9,0.61
IND-DOR-20240107-001,ML Engineer,Full-time,Dortmund,2,Cloud Data Engineering,15,0.61
SS-HAM-20250317-001,Werkstudent Data Analytics,Werkstudent,Hamburg,2,Cloud Data Engineering,12,0.61
SS-BER-20250218-003,Werkstudent Machine Learning,Werkstudent,Berlin,4,Enterprise BI & Reporting,8,0.61
IND-ESS-20240228-001,Senior Data Analyst,Full-time,Essen,4,Enterprise BI & Reporting,7,0.61
SS-COL-20241125-001,BI Engineer,Full-time,Cologne,3,ML & Research,13,0.61
LI-HAM-20240425-001,Praktikant Data Science,Praktikum,Hamburg,1,Core Analytics & Student Entry,6,0.61
LI-BER-20240224-001,Werkstudent BI,Werkstudent,Berlin,1,Core Analytics & Student Entry,7,0.61
SS-FRA-20241203-002,Data Analyst,Full-time,Frankfurt,3,ML & Research,14,0.61
LI-BER-20240817-001,Data Architect,Full-time,Berlin,2,Cloud Data Engineering,14,0.61
IND-OTH-20240129-002,BI Engineer,Full-time,Other,2,Cloud Data Engineering,12,0.61
SS-ESS-20241231-001,Werkstudent BI,Werkstudent,Essen,1,Core Analytics & Student Entry,9,0.61
LI-MUN-20240717-001,BI Engineer,Full-time,Munich,1,Core Analytics & Student Entry,6,0.61
IND-MUN-20241102-002,Business Intelligence Analyst,Full-time,Munich,4,Enterprise BI & Reporting,7,0.61
SS-MUN-20250222-002,BI Engineer,Full-time,Munich,2,Cloud Data Engineering,11,0.61
LI-BER-20240220-001,Senior Data Analyst,Full-time,Berlin,1,Core Analytics & Student Entry,6,0.61
IND-MUN-20241216-001,Analytics Engineer,Full-time,Munich,3,ML & Research,9,0.61
IND-MUN-20240507-001,Senior Data Analyst,Full-time,Munich,2,Cloud Data Engineering,13,0.61
SS-BER-20240408-001,Werkstudent Data Analytics,Werkstudent,Berlin,1,Core Analytics & Student Entry,7,0.61
IND-HAM-20250226-003,Werkstudent Data Analytics,Werkstudent,Hamburg,1,Core Analytics & Student Entry,7,0.61
LI-BER-20240131-001,Contract Data Analyst,Freelance/Contract,Berlin,4,Enterprise BI & Reporting,11,0.61
SS-BER-20240809-001,Praktikant Data Science,Praktikum,Berlin,1,Core Analytics & Student Entry,7,0.61
IND-STU-20240413-001,Contract ML Engineer,Freelance/Contract,Stuttgart,2,Cloud Data Engineering,14,0.61
LI-BER-20240721-001,Business Intelligence Analyst,Full-time,Berlin,2,Cloud Data Engineering,11,0.61
LI-FRA-20240519-001,Data Scientist,Full-time,Frankfurt,4,Enterprise BI & Reporting,8,0.61
LI-BER-20240809-002,Praktikant Business Intelligence,Praktikum,Berlin,1,Core Analytics & Student Entry,6,0.61
SS-HAM-20240331-001,BI Engineer,Full-time,Hamburg,3,ML & Research,12,0.61
SS-ESS-20240213-001,Senior Data Engineer,Full-time,Essen,2,Cloud Data Engineering,10,0.61
LI-BER-20240902-001,ML Engineer,Full-time,Berlin,2,Cloud Data Engineering,11,0.61
SS-BER-20241009-001,Data Analyst,Full-time,Berlin,3,ML & Research,12,0.61
SS-HAM-20250206-001,Senior Data Engineer,Full-time,Hamburg,2,Cloud Data Engineering,11,0.61
IND-FRA-20240302-001,ML Engineer,Full-time,Frankfurt,4,Enterprise BI & Reporting,7,0.61
LI-BER-20250314-001,Werkstudent Data Science,Werkstudent,Berlin,1,Core Analytics & Student Entry,6,0.61
SS-OTH-20240722-001,Praktikant Data Analyst,Praktikum,Other,1,Core Analytics & Student Entry,6,0.61
IND-HAM-20250210-002,Data Engineer,Full-time,Hamburg,2,Cloud Data Engineering,12,0.61
LI-DOR-20240531-001,Senior Data Engineer,Full-time,Dortmund,2,Cloud Data Engineering,13,0.61
SS-COL-20240618-001,Data Scientist,Full-time,Cologne,1,Core Analytics & Student Entry,6,0.61
LI-OTH-20240201-001,Praktikant Data Analyst,Praktikum,Other,1,Core Analytics & Student Entry,6,0.61
IND-HAM-20241116-001,ML Engineer,Full-time,Hamburg,1,Core Analytics & Student Entry,8,0.61
SS-OTH-20240510-001,Praktikant Data Science,Praktikum,Other,1,Core Analytics & Student Entry,5,0.61
SS-FRA-20250319-001,Werkstudent Data Engineering,Werkstudent,Frankfurt,1,Core Analytics & Student Entry,8,0.61
LI-MUN-20240223-001,Data Architect,Full-time,Munich,2,Cloud Data Engineering,12,0.61
