,Python,SQL,Excel,Power BI,Git,Azure,Jupyter,Tableau,NumPy,Machine Learning,AWS,Spark,dbt,R,Matplotlib,Airflow,GCP,Databricks,Pandas,Seaborn,Kafka,TensorFlow,Looker,PyTorch,Kubernetes,Snowflake,Terraform,Docker,MLflow,Scikit-learn
Python,0,2087,1456,1223,1322,1134,1071,850,945,941,870,797,732,638,617,615,583,564,533,482,469,461,333,444,430,409,411,419,413,406
SQL,2087,0,1565,1342,1078,940,920,927,779,751,710,639,586,558,521,481,473,451,444,388,368,316,390,313,337,342,346,323,298,287
Excel,1456,1565,0,1515,497,369,715,1019,537,463,194,116,101,397,319,80,130,71,333,251,79,68,414,62,67,105,71,51,70,40
Power BI,1223,1342,1515,0,397,304,598,885,439,377,151,86,76,311,258,53,104,53,270,212,55,32,359,37,46,85,48,32,39,23
Git,1322,1078,497,397,0,793,548,310,521,542,642,607,566,354,363,483,427,449,282,288,361,328,127,327,323,303,316,316,299,297
Azure,1134,940,369,304,793,0,250,232,236,282,833,828,760,186,159,664,480,613,108,122,461,141,120,117,418,385,434,400,143,123
Jupyter,1071,920,715,598,548,250,0,437,647,624,115,59,67,413,435,33,161,23,386,330,52,369,144,366,53,57,39,69,308,316
Tableau,850,927,1019,885,310,232,437,0,312,291,112,64,54,237,194,42,86,41,201,143,43,52,245,62,38,61,41,29,47,39
NumPy,945,779,537,439,521,236,647,312,0,604,119,74,80,384,377,50,157,44,344,306,60,374,118,372,52,56,40,81,312,331
Machine Learning,941,751,463,377,542,282,624,291,604,0,155,108,109,399,413,78,172,58,343,323,79,408,106,407,79,70,52,91,339,360
AWS,870,710,194,151,642,833,115,112,119,155,0,767,702,102,79,620,429,573,48,63,432,63,71,45,379,354,404,363,71,54
Spark,797,639,116,86,607,828,59,64,74,108,767,0,715,65,42,631,423,582,10,29,432,31,50,16,385,349,399,371,47,32
dbt,732,586,101,76,566,760,67,54,80,109,702,715,0,74,51,572,389,532,16,34,395,43,49,29,356,316,367,342,53,45
R,638,558,397,311,354,186,413,237,384,399,102,65,74,0,262,44,108,33,230,208,61,238,92,240,44,52,36,52,204,210
Matplotlib,617,521,319,258,363,159,435,194,377,413,79,42,51,262,0,30,107,26,233,209,44,283,81,271,34,41,31,53,236,240
Airflow,615,481,80,53,483,664,33,42,50,78,620,631,572,44,30,0,338,466,8,10,357,24,39,8,317,296,328,291,41,20
GCP,583,473,130,104,427,480,161,86,157,172,429,423,389,108,107,338,0,308,73,92,248,112,48,101,217,196,211,212,108,93
Databricks,564,451,71,53,449,613,23,41,44,58,573,582,532,33,26,466,308,0,0,15,325,10,41,3,279,268,293,264,32,19
Pandas,533,444,333,270,282,108,386,201,344,343,48,10,16,230,233,8,73,0,0,167,15,217,74,197,12,25,10,30,171,182
Seaborn,482,388,251,212,288,122,330,143,306,323,63,29,34,208,209,10,92,15,167,0,36,218,64,217,22,35,13,38,175,188
Kafka,469,368,79,55,361,461,52,43,60,79,432,432,395,61,44,357,248,325,15,36,0,40,38,27,212,206,223,210,53,33
TensorFlow,461,316,68,32,328,141,369,52,374,408,63,31,43,238,283,24,112,10,217,218,40,0,24,321,36,23,15,53,275,296
Looker,333,390,414,359,127,120,144,245,118,106,71,50,49,92,81,39,48,41,74,64,38,24,0,23,38,40,33,22,23,19
PyTorch,444,313,62,37,327,117,366,62,372,407,45,16,29,240,271,8,101,3,197,217,27,321,23,0,32,22,10,48,268,289
Kubernetes,430,337,67,46,323,418,53,38,52,79,379,385,356,44,34,317,217,279,12,22,212,36,38,32,0,174,185,198,45,28
Snowflake,409,342,105,85,303,385,57,61,56,70,354,349,316,52,41,296,196,268,25,35,206,23,40,22,174,0,166,164,44,25
Terraform,411,346,71,48,316,434,39,41,40,52,404,399,367,36,31,328,211,293,10,13,223,15,33,10,185,166,0,181,27,18
Docker,419,323,51,32,316,400,69,29,81,91,363,371,342,52,53,291,212,264,30,38,210,53,22,48,198,164,181,0,54,46
MLflow,413,298,70,39,299,143,308,47,312,339,71,47,53,204,236,41,108,32,171,175,53,275,23,268,45,44,27,54,0,242
Scikit-learn,406,287,40,23,297,123,316,39,331,360,54,32,45,210,240,20,93,19,182,188,33,296,19,289,28,25,18,46,242,0
